"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TCOF1",6.90361143921532e-37,0.308244891825399,0.306,0.037,2.04015525251691e-32,"6","TCOF1"
"UBE2S1",8.58266060473753e-37,0.884796596109794,0.918,0.265,2.53634786191203e-32,"6","UBE2S"
"EMP32",1.18734798652151e-36,0.618338032316385,0.824,0.209,3.50885076976837e-32,"6","EMP3"
"CDV32",1.27807919608466e-36,0.312526516802417,0.835,0.206,3.77697964026938e-32,"6","CDV3"
"ZNF3312",1.76525622379473e-36,1.38653098357616,0.835,0.234,5.21668519255818e-32,"6","ZNF331"
"DUSP22",2.14837228560072e-36,0.26060518085182,0.282,0.032,6.34886977840726e-32,"6","DUSP22"
"DHRS7",2.63427036923367e-36,0.269364080527652,0.529,0.097,7.78479579515935e-32,"6","DHRS7"
"PSMB102",3.9425658066392e-36,0.314217377027741,0.529,0.097,1.16510704717801e-31,"6","PSMB10"
"EDF12",4.00085020687232e-36,0.327745184228533,0.941,0.26,1.18233125313491e-31,"6","EDF1"
"EIF4A31",4.7571342235459e-36,0.953109470220278,0.871,0.255,1.40582830574228e-31,"6","EIF4A3"
"SMG1",4.97621643117633e-36,0.343809712919045,0.612,0.127,1.47057147974123e-31,"6","SMG1"
"GABPB1-IT1",6.3828855350392e-36,0.484569372409838,0.459,0.077,1.88627033331478e-31,"6","GABPB1-IT1"
"AC016831.53",6.6475324993311e-36,0.48536689451258,0.565,0.109,1.96447880420233e-31,"6","AC016831.5"
"PCNX4",7.42761397481667e-36,0.587051675862723,0.353,0.05,2.19500848183782e-31,"6","PCNX4"
"VPS36",7.55737090133642e-36,0.280172480753988,0.353,0.049,2.23335424876294e-31,"6","VPS36"
"SPN",1.70421648479364e-35,0.369114871024467,0.306,0.038,5.03630055586216e-31,"6","SPN"
"ITPR21",2.50851915282276e-35,0.349277411320182,0.329,0.044,7.41317580042183e-31,"6","ITPR2"
"CD372",5.49060431844392e-35,0.382587392200403,0.906,0.233,1.62258338818655e-30,"6","CD37"
"HLA-DRB51",7.2167441909227e-35,0.300067858488102,0.529,0.1,2.13269224330148e-30,"6","HLA-DRB5"
"ARPC1B1",1.21421639276487e-34,0.356138096279958,0.776,0.194,3.58825228389874e-30,"6","ARPC1B"
"SPTY2D11",1.21910618782608e-34,0.301490728262853,0.529,0.1,3.60270260626365e-30,"6","SPTY2D1"
"KIF5B",1.22940445166886e-34,0.327736654370007,0.635,0.139,3.63313603557182e-30,"6","KIF5B"
"KLF3",1.26251902302372e-34,0.584453356826096,0.365,0.055,3.7309962168397e-30,"6","KLF3"
"NANS1",1.4963746478753e-34,0.25221823256023,0.471,0.082,4.42208635940107e-30,"6","NANS"
"MYL12A1",7.26930511298963e-34,0.63622106256347,0.953,0.305,2.14822504699069e-29,"6","MYL12A"
"KLHL61",7.91700484535499e-34,0.262308400687151,0.353,0.051,2.33963327189931e-29,"6","KLHL6"
"CHMP1B1",8.97141456596067e-34,0.853449755578063,0.8,0.22,2.6512324325327e-29,"6","CHMP1B"
"RNASEK1",1.13064538782153e-33,0.408206814422314,0.929,0.289,3.34128325009019e-29,"6","RNASEK"
"OTUD6B-AS11",1.35182880729421e-33,0.298624569679391,0.506,0.094,3.99492449131584e-29,"6","OTUD6B-AS1"
"ARHGAP241",4.03542482905509e-33,0.338163295011855,0.282,0.035,1.19254874548236e-28,"6","ARHGAP24"
